run_label,stage,source,json_path,family_id,task_family,suite_id,layer,mode,profile,row_type,api_prompt_tokens_delta,api_llm_total_tokens_delta,api_completion_tokens_delta,llm_prompt_bytes,prompt_visible_total_bytes,raw_evidence_bytes_seen_by_llm,control_bytes,prompt_scaffolding_bytes_total,llm_prompt_tokens,llm_total_tokens,selected_evidence_bytes,pruning_gain_bytes,api_debug_prompt_tokens_delta,api_debug_llm_total_tokens_delta,llm_prompt_delta_l2_vs_t2,prompt_visible_delta_l2_vs_t2,llm_prompt_saved_by_state_ref_bytes,prompt_visible_saved_by_state_ref_bytes
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.9.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,2296,0,,6908,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.9.metrics,,,,,,,stage_stdout_json,,,,9204,2296,0,1964,6908,2564,4826,1838,252,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.telemetry_summary,,,,,,,stage_stdout_json,,,,179686,140623,136328,35560,39063,65077,82686,7289,56542,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1,csv_table_profile_v1,csv_table_profile_v1,v2-local-api-non-kv-20260709_002546-core-r01_10_continuous_api_local-continuous-csv_table_profile,L1,api,typed control only,stage_stdout_json,,,,177693,140623,136328,4620,37070,67229,87277,7289,56542,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.0,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,20629,17567,17352,462,3062,7073,9360,768,7032,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.0.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,17567,17352,,3062,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.0.metrics,,,,,,,stage_stdout_json,,,,20629,17567,17352,462,3062,7073,9360,768,7032,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.1,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,21224,17578,17352,462,3646,7288,9250,783,7002,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.1.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,17578,17352,,3646,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.1.metrics,,,,,,,stage_stdout_json,,,,21224,17578,17352,462,3646,7288,9250,783,7002,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.2,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,21140,17574,17352,462,3566,7279,9173,768,7032,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.2.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,17574,17352,,3566,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.2.metrics,,,,,,,stage_stdout_json,,,,21140,17574,17352,462,3566,7279,9173,768,7032,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.3,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,21132,17572,17352,462,3560,7274,9510,768,7032,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.3.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,17572,17352,,3560,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.3.metrics,,,,,,,stage_stdout_json,,,,21132,17572,17352,462,3560,7274,9510,768,7032,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.4,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,20656,17580,17352,462,3076,7049,8435,768,7032,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.4.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,17580,17352,,3076,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.4.metrics,,,,,,,stage_stdout_json,,,,20656,17580,17352,462,3076,7049,8435,768,7032,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.5,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,15617,12610,12392,462,3007,6997,9157,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.5.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,12610,12392,,3007,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.5.metrics,,,,,,,stage_stdout_json,,,,15617,12610,12392,462,3007,6997,9157,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.6,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,16069,12614,12392,462,3455,7193,8846,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.6.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,12614,12392,,3455,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.6.metrics,,,,,,,stage_stdout_json,,,,16069,12614,12392,462,3455,7193,8846,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.7,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,15978,12612,12392,462,3366,7163,9234,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.7.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,12612,12392,,3366,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.7.metrics,,,,,,,stage_stdout_json,,,,15978,12612,12392,462,3366,7163,9234,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.8,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,15545,12620,12392,462,2925,6947,9034,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.8.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,12620,12392,,2925,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.8.metrics,,,,,,,stage_stdout_json,,,,15545,12620,12392,462,2925,6947,9034,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.9,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,9703,2296,0,462,7407,2966,5278,1838,252,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.9.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,2296,0,,7407,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.cases.9.metrics,,,,,,,stage_stdout_json,,,,9703,2296,0,462,7407,2966,5278,1838,252,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.1.telemetry_summary,,,,,,,stage_stdout_json,,,,177693,140623,136328,4620,37070,67229,87277,7289,56542,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.2,csv_table_profile_v1,csv_table_profile_v1,v2-local-api-non-kv-20260709_002546-core-r01_10_continuous_api_local-continuous-csv_table_profile,L2,api,typed control plus semantic pruning,stage_stdout_json,,,,90980,58661,45513,4850,32319,32351,50513,7289,56542,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.2.cases.0,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,9062,6143,5928,485,2919,3054,4552,768,7032,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.2.cases.0.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,6143,5928,,2919,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.2.cases.0.metrics,,,,,,,stage_stdout_json,,,,9062,6143,5928,485,2919,3054,4552,768,7032,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.2.cases.1,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,10526,7015,5973,485,3511,3517,5888,783,7002,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.2.cases.1.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,7015,5973,,3511,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.2.cases.1.metrics,,,,,,,stage_stdout_json,,,,10526,7015,5973,485,3511,3517,5888,783,7002,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.2.cases.2,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,10420,6966,5928,485,3454,3475,4869,768,7032,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.2.cases.2.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,6966,5928,,3454,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.2.cases.2.metrics,,,,,,,stage_stdout_json,,,,10420,6966,5928,485,3454,3475,4869,768,7032,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.2.cases.3,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,10897,7405,5928,485,3492,3620,4860,768,7032,,,,,,
